name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank,height (cm),matches_played
Andy Murray,2016,313,154,58%,76%,55%,268,67%,555,84%,67%,34%,58%,469,47%,536,41%,43%,56%,2,191,10
Illya Marchenko,2016,145,126,57%,74%,48%,183,62%,307,78%,63%,28%,47%,153,42%,312,21%,36%,49%,94,185,13
Novak Djokovic,2016,209,127,64%,75%,56%,238,68%,562,87%,68%,34%,60%,441,44%,544,36%,45%,56%,1,188,42
Fernando Verdasco,2016,188,127,61%,73%,47%,197,62%,336,78%,63%,28%,46%,166,37%,337,18%,35%,49%,49,188,33
Milos Raonic,2016,549,161,63%,81%,54%,142,65%,535,91%,71%,28%,49%,283,36%,523,20%,37%,53%,14,196,37
Dustin Brown,2016,91,37,65%,71%,52%,73,66%,115,78%,64%,33%,42%,75,41%,117,26%,37%,51%,118,196,13
Stan Wawrinka,2016,331,117,58%,74%,56%,280,70%,595,86%,67%,28%,50%,338,39%,574,23%,37%,52%,4,183,27
Martin Klizan,2016,100,110,56%,70%,47%,183,62%,237,71%,60%,28%,53%,131,43%,239,23%,37%,49%,43,191,27
Kei Nishikori,2016,201,136,59%,73%,56%,302,67%,588,83%,66%,29%,55%,433,41%,592,30%,39%,53%,8,178,52
Andrey Kuznetsov,2016,190,117,55%,75%,51%,201,63%,370,80%,64%,29%,52%,249,37%,377,25%,39%,51%,79,183,1
Gael Monfils,2016,429,137,63%,76%,53%,220,62%,547,85%,68%,32%,51%,365,45%,545,30%,39%,54%,24,193,28
Jiri Vesely,2016,128,69,62%,69%,54%,116,56%,238,79%,64%,28%,51%,146,34%,240,21%,37%,50%,41,198,17
Marin Cilic,2016,475,120,54%,79%,56%,204,63%,569,87%,68%,28%,50%,346,37%,559,23%,37%,52%,13,198,44
Jerzy Janowicz,2016,19,25,64%,69%,48%,38,76%,32,72%,62%,21%,34%,20,25%,34,15%,25%,48%,57,203,0
Dominic Thiem,2016,237,98,63%,73%,53%,186,53%,456,81%,66%,30%,49%,275,37%,463,22%,38%,51%,20,185,39
Jan-Lennard Struff,2016,122,71,54%,77%,49%,100,61%,184,79%,64%,30%,48%,114,34%,188,21%,37%,51%,107,193,28
Rafael Nadal,2016,71,59,68%,68%,54%,192,72%,265,80%,64%,32%,56%,225,48%,258,41%,42%,54%,5,185,17
Florian Mayer,2016,26,12,59%,71%,49%,41,56%,75,76%,62%,20%,51%,37,41%,79,19%,34%,48%,217,191,10
Tomas Berdych,2016,358,128,57%,79%,51%,193,65%,483,86%,67%,27%,50%,261,37%,471,20%,36%,51%,6,196,19
Luca Vanni,2016,51,11,57%,81%,50%,23,52%,68,84%,67%,25%,43%,28,29%,69,12%,32%,49%,106,198,32
David Goffin,2016,245,179,60%,72%,48%,311,61%,558,78%,62%,30%,54%,398,42%,570,29%,40%,51%,16,180,31
Reilly Opelka,2016,121,34,58%,81%,60%,36,81%,118,94%,72%,16%,45%,34,24%,119,7%,28%,50%,981,211,39
