Player,%,Matches
Pablo Carreno Busta,67.51%,27
John Isner,67.48%,36
Juan Martin del Potro,65.22%,45
Karen Khachanov,64.96%,48
Kevin Anderson,64.09%,48
Nick Kyrgios,63.99%,24
Novak Djokovic,63.97%,37
Roberto Bautista Agut,63.96%,30
Borna Coric,63.79%,38
Mikhail Kukushkin,63.51%,24
Gael Monfils,63.40%,22
Alexander Zverev,63.30%,46
Richard Gasquet,63.24%,30
Hyeon Chung,63.17%,43
Filip Krajinovic,63.04%,30
Adrian Mannarino,62.67%,33
Philipp Kohlschreiber,62.33%,22
Grigor Dimitrov,61.70%,28
Frances Tiafoe,61.55%,35
Damir Dzumhur,61.27%,35
David Goffin,61.16%,23
Fernando Verdasco,61.15%,32
Evgeny Donskoy,61.04%,25
Alex de Minaur,61.02%,40
Gilles Simon,60.98%,31
Jeremy Chardy,60.85%,28
Roger Federer,60.77%,44
Kyle Edmund,60.75%,32
Feliciano Lopez,60.74%,24
Milos Raonic,60.71%,29
Joao Sousa,60.60%,32
Pierre-Hugues Herbert,60.48%,35
Ryan Harrison,60.24%,28
Kei Nishikori,59.90%,41
Taylor Fritz,59.83%,31
Diego Schwartzman,59.50%,26
Marin Cilic,59.34%,37
Fabio Fognini,59.19%,32
Matthew Ebden,58.97%,28
Sam Querrey,58.60%,32
Andrey Rublev,58.24%,37
Daniil Medvedev,58.11%,50
Andreas Seppi,57.99%,24
Nikoloz Basilashvili,57.96%,30
Mischa Zverev,57.93%,25
Stefanos Tsitsipas,57.76%,47
Dominic Thiem,57.45%,33
Stan Wawrinka,57.44%,25
Marius Copil,57.37%,24
Jan-Lennard Struff,56.95%,26
Steve Johnson,56.91%,27
Robin Haase,56.77%,30
Denis Shapovalov,56.27%,42
Lucas Pouille,56.17%,28
Marton Fucsovics,55.63%,27
Malek Jaziri,55.05%,24
Peter Gojowczyk,53.96%,34
Benoit Paire,50.82%,34
