Player,%,Matches
John Isner,71.41%,42
Dusan Lajovic,69.91%,23
Pablo Carreno Busta,68.25%,33
Cameron Norrie,67.31%,29
Yoshihito Nishioka,66.90%,27
Alexander Zverev,66.87%,38
Roberto Bautista Agut,66.36%,37
Jordan Thompson,66.20%,31
Frances Tiafoe,66.16%,37
Novak Djokovic,65.98%,40
Nick Kyrgios,65.59%,28
Felix Auger-Aliassime,65.50%,22
Filip Krajinovic,65.27%,30
Dominic Thiem,65.23%,35
Roger Federer,65.19%,40
Hubert Hurkacz,64.92%,35
Fernando Verdasco,64.53%,27
Diego Schwartzman,64.45%,35
Reilly Opelka,64.34%,36
Gael Monfils,64.24%,41
Stefanos Tsitsipas,64.09%,54
Mikhail Kukushkin,63.40%,29
Milos Raonic,63.30%,26
Kei Nishikori,63.16%,23
Borna Coric,63.13%,28
Joao Sousa,62.98%,23
Rafael Nadal,62.57%,30
Daniel Evans,62.54%,27
Jeremy Chardy,62.48%,30
Damir Dzumhur,62.46%,22
Radu Albot,62.34%,40
Gilles Simon,62.22%,32
Grigor Dimitrov,62.08%,30
Sam Querrey,61.86%,27
Matteo Berrettini,61.83%,36
John Millman,61.02%,30
Daniil Medvedev,60.95%,58
Alexei Popyrin,60.86%,23
Karen Khachanov,60.79%,33
Kyle Edmund,60.72%,22
Miomir Kecmanovic,60.39%,33
Fabio Fognini,60.37%,26
Alex de Minaur,60.21%,47
Ugo Humbert,60.16%,25
Adrian Mannarino,60.10%,38
Denis Shapovalov,59.92%,48
Jo-Wilfried Tsonga,59.86%,32
Taylor Fritz,59.65%,33
Marin Cilic,59.30%,28
Andrey Rublev,59.24%,43
David Goffin,59.19%,36
Stan Wawrinka,59.06%,35
Lucas Pouille,59.05%,27
Pierre-Hugues Herbert,58.81%,23
Andreas Seppi,58.07%,27
Marton Fucsovics,57.11%,25
Marius Copil,56.90%,22
Nikoloz Basilashvili,56.78%,32
Jan-Lennard Struff,56.49%,34
Peter Gojowczyk,53.24%,22
Benoit Paire,52.66%,36
