ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
16,Acapulco,Abierto Mexicano,25/02/2019,ATP500,Outdoor,Hard,1st Round,3,Johnson S.,Lopez Villasenor G.,36,552,1145,7,7,5,7,5,,,,,,,2,0,Completed,1.12,6,1.11,8.05,1.14,9,1.1,7.21
16,Acapulco,Abierto Mexicano,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Gojowczyk P.,Gaio F.,87,229,640,216,5,7,6,4,6,2,,,,,2,1,Completed,1.28,3.5,1.25,4.41,1.3,4.41,1.27,3.77
16,Acapulco,Abierto Mexicano,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Millman J.,Granollers M.,44,115,1008,511,6,3,6,4,,,,,,,2,0,Completed,1.33,3.25,1.34,3.56,1.36,3.65,1.33,3.34
16,Acapulco,Abierto Mexicano,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Wawrinka S.,Harrison R.,42,93,1040,615,6,4,7,6,,,,,,,2,0,Completed,1.33,3.25,1.36,3.37,1.4,3.48,1.35,3.19
16,Acapulco,Abierto Mexicano,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Tiafoe F.,Thompson J.,34,79,1175,712,3,6,6,4,6,3,,,,,2,1,Completed,1.57,2.25,1.71,2.24,1.71,2.55,1.65,2.23
16,Acapulco,Abierto Mexicano,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Isner J.,Mannarino A.,9,51,3270,920,6,3,4,6,6,3,,,,,2,1,Completed,1.33,3.25,1.36,3.42,1.36,3.9,1.3,3.49
16,Acapulco,Abierto Mexicano,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Schwartzman D.,Copil M.,25,74,1485,738,6,3,4,6,6,1,,,,,2,1,Completed,1.66,2.1,1.65,2.37,1.73,2.37,1.65,2.23
16,Acapulco,Abierto Mexicano,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Norrie C.,Nishioka Y.,64,75,797,729,6,2,2,6,6,2,,,,,2,1,Completed,2.2,1.61,2.15,1.78,2.27,1.8,2.13,1.72
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,1st Round,3,Kyrgios N.,Seppi A.,72,49,750,960,6,3,7,5,,,,,,,2,0,Completed,2,1.72,2.18,1.75,2.2,1.91,2.04,1.78
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,1st Round,3,Zverev A.,Popyrin A.,3,133,6475,439,6,3,6,3,,,,,,,2,0,Completed,1.16,5,1.17,5.76,1.18,5.85,1.16,5.19
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,1st Round,3,Querrey S.,Garcia-Lopez G.,57,103,880,551,6,3,6,2,,,,,,,2,0,Completed,1.3,3.4,1.33,3.61,1.35,3.69,1.32,3.42
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,1st Round,3,Nadal R.,Zverev M.,2,76,8320,726,6,3,6,3,,,,,,,2,0,Completed,1.05,11,1.06,12.23,1.07,13,1.05,10.09
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,1st Round,3,De Minaur A.,Jarry N.,26,67,1443,790,7,6,7,6,,,,,,,2,0,Completed,1.25,3.75,1.32,3.66,1.32,4,1.28,3.67
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,1st Round,3,Mcdonald M.,Nava E.,71,N/A,753,N/A,6,1,6,3,,,,,,,2,0,Completed,1.07,9,1.06,11.39,1.09,13,1.06,9.05
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,1st Round,3,Lopez F.,Lajovic D.,73,43,745,1010,6,7,6,2,7,5,,,,,2,1,Completed,2,1.72,2.11,1.81,2.11,1.87,2.03,1.78
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,1st Round,3,Ferrer D.,Sandgren T.,145,84,400,663,7,6,7,6,,,,,,,2,0,Completed,1.53,2.37,1.6,2.48,1.66,2.55,1.57,2.4
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Millman J.,Gojowczyk P.,44,87,1008,640,6,0,6,2,,,,,,,2,0,Completed,1.4,2.75,1.46,2.93,1.48,2.95,1.44,2.79
16,Acapulco,Abierto Mexicano,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Isner J.,Querrey S.,9,57,3270,880,6,4,6,4,,,,,,,2,0,Completed,1.83,1.83,1.96,1.94,2.06,1.95,1.94,1.87
16,Acapulco,Abierto Mexicano,28/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Mcdonald M.,Tiafoe F.,71,34,753,1175,6,7,7,5,6,3,,,,,2,1,Completed,2.25,1.57,2.26,1.72,2.33,1.72,2.22,1.66
16,Acapulco,Abierto Mexicano,28/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Wawrinka S.,Johnson S.,42,36,1040,1145,7,6,6,4,,,,,,,2,0,Completed,1.25,3.75,1.3,3.92,1.32,3.92,1.28,3.65
