Player,Number,Matches
Kevin Anderson,740,48
John Isner,738,36
Karen Khachanov,467,48
Milos Raonic,459,29
Sam Querrey,457,32
Nick Kyrgios,454,24
Roger Federer,401,44
Juan Martin del Potro,379,45
Alexander Zverev,379,46
Marin Cilic,372,37
Daniil Medvedev,350,50
Denis Shapovalov,335,42
Marius Copil,317,24
Stefanos Tsitsipas,316,47
Dominic Thiem,314,33
Feliciano Lopez,313,24
Benoit Paire,305,34
Pierre-Hugues Herbert,295,35
Frances Tiafoe,283,35
Jan-Lennard Struff,281,26
Taylor Fritz,276,31
Lucas Pouille,270,28
Ivo Karlovic,267,11
Kyle Edmund,263,32
Ryan Harrison,262,28
Peter Gojowczyk,255,34
Fernando Verdasco,255,32
Gilles Muller,245,15
Jeremy Chardy,238,28
Grigor Dimitrov,229,28
Andrey Rublev,226,37
Robin Haase,222,30
Borna Coric,218,38
Matthew Ebden,211,28
Steve Johnson,208,27
Marcos Baghdatis,204,21
Nicolas Jarry,204,16
Richard Gasquet,198,30
Gael Monfils,186,22
Stan Wawrinka,181,25
Tennys Sandgren,178,19
Novak Djokovic,174,37
Alex de Minaur,171,40
Adrian Mannarino,168,33
Lukas Lacko,165,19
Leonardo Mayer,164,21
Nikoloz Basilashvili,159,30
Hyeon Chung,159,43
Andreas Seppi,156,24
Mischa Zverev,154,25
Kei Nishikori,150,41
Joao Sousa,149,32
Denis Kudla,143,14
Maximilian Marterer,142,18
Vasek Pospisil,141,16
Gilles Simon,141,31
Jack Sock,141,21
Fabio Fognini,140,32
Jo-Wilfried Tsonga,138,11
Viktor Troicki,133,15
Filip Krajinovic,132,30
Matteo Berrettini,130,15
David Goffin,130,23
Philipp Kohlschreiber,123,22
Tomas Berdych,122,15
Pablo Carreno Busta,122,27
Marton Fucsovics,122,27
Julien Benneteau,121,11
John Millman,115,20
Jiri Vesely,110,13
Cameron Norrie,108,20
Malek Jaziri,104,24
Bradley Klahn,101,11
Diego Schwartzman,100,26
Roberto Bautista Agut,99,30
Jared Donaldson,99,20
Guido Pella,98,15
Marco Cecchinato,95,15
Ilya Ivashka,95,15
Damir Dzumhur,93,35
Evgeny Donskoy,92,25
Mirza Basic,91,16
Ricardas Berankis,89,18
Jaume Munar,84,13
Albert Ramos-Vinolas,84,18
Alexandr Dolgopolov,79,8
Aljaz Bedene,76,9
Ruben Bemelmans,76,14
Denis Istomin,74,13
Felix Auger-Aliassime,73,11
Yuichi Sugita,72,16
Stefano Travaglia,70,6
Paolo Lorenzi,69,7
Tim Smyczek,69,10
Hubert Hurkacz,67,10
Reilly Opelka,66,4
Andy Murray,65,9
Ernesto Escobedo,64,8
Laslo Djere,63,11
Thanasi Kokkinakis,63,8
Dusan Lajovic,63,17
Martin Klizan,62,11
Mackenzie McDonald,62,14
Bernard Tomic,62,7
Mikhail Youzhny,62,17
Taro Daniel,60,18
Quentin Halys,60,5
Ernests Gulbis,59,9
Egor Gerasimov,58,6
Mikhail Kukushkin,58,24
Lorenzo Sonego,56,4
Rafael Nadal,54,16
Guillermo Garcia-Lopez,53,12
Ugo Humbert,53,5
Michael Mmoh,52,11
Alexei Popyrin,51,5
Nicolas Mahut,49,10
Horacio Zeballos,49,8
Radu Albot,48,20
James Duckworth,45,5
Peter Polansky,44,11
Lloyd Harris,42,3
Alex Bolt,41,4
Matthias Bachinger,38,6
Ramkumar Ramanathan,37,6
Casper Ruud,37,4
Donald Young,37,13
Pablo Cuevas,35,7
Noah Rubin,35,7
Jordan Thompson,32,5
David Ferrer,26,16
Dudi Sela,26,8
Andreas Haider-Maurer,25,3
Nicolas Kicker,24,8
Jason Kubler,24,4
Oscar Otte,23,2
Aleksandar Vukic,23,1
Yibing Wu,23,5
Guido Andreozzi,21,4
Liam Caruana,21,4
Adrian Menendez-Maceiras,21,4
Yuki Bhambri,19,10
Dustin Brown,19,2
Thomas Fabbiano,19,10
Florian Mayer,19,5
Yosuke Watanuki,19,3
Roberto Carballes Baena,17,6
Salvatore Caruso,17,4
Mitchell Krueger,17,4
Yoshihito Nishioka,17,17
Tommy Paul,17,4
Franko Skugor,17,4
Federico Delbonis,16,5
Evgeny Karlovskiy,15,1
Elias Ymer,15,5
Norbert Gombos,14,2
Yannick Hanfmann,14,2
Christopher Eubanks,13,1
Calvin Hemery,13,2
Henri Laaksonen,13,2
Lukas Rosol,13,2
Sergiy Stakhovsky,13,2
Blaz Kavcic,12,7
Thai-Son Kwiatkowski,12,1
Corentin Moutet,12,3
Victor Estrella Burgos,11,5
Marcel Granollers,11,2
Sebastian Korda,11,1
Jozef Kovalik,11,4
Gerald Melzer,11,1
Thiago Monteiro,11,2
Dennis Novak,11,3
Kenny De Schepper,10,2
Takanyi Garanganga,10,1
Filip Horansky,10,1
Yannick Maden,10,6
John-Patrick Smith,10,2
Ze Zhang,10,1
Soonwoo Kwon,9,1
Constant Lestienne,9,3
Zhizhen Zhang,9,1
Jurgen Zopp,9,2
Alexander Donski,8,1
Rogerio Dutra Silva,8,3
Daniel Elahi Galan,8,1
Marcos Giron,8,2
Vincent Millot,8,2
Carlos Taberner,8,2
Alexander Bublik,7,3
Federico Gaio,7,1
Prajnesh Gunneswaran,7,3
Dominik Koepfer,7,2
Brayden Schnur,7,1
Luca Vanni,7,1
Mikael Ymer,7,3
Facundo Bagnis,6,1
Carlos Berlocq,6,1
Kevin King,6,1
Stephane Robert,6,1
Mohamed Safwat,6,1
