,name,year,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won,rank,height (cm),matches_played
0,Novak Djokovic,2018,174,91,0.56,0.77,0.47,157,0.71,457,0.85,0.64,0.27,0.46,347,0.41,443,0.18,0.35,0.5,1.0,188,42
1,Mitchell Krueger,2018,17,8,0.56,0.77,0.47,27,0.71,50,0.85,0.64,0.27,0.46,28,0.41,53,0.18,0.35,0.5,231.0,188,44
2,Rafael Nadal,2018,54,32,0.56,0.77,0.47,129,0.71,237,0.85,0.64,0.27,0.46,163,0.41,231,0.18,0.35,0.5,2.0,185,17
3,James Duckworth,2018,45,25,0.56,0.77,0.47,35,0.71,70,0.85,0.64,0.27,0.46,21,0.41,68,0.18,0.35,0.5,238.0,183,26
4,Roger Federer,2018,401,98,0.56,0.77,0.47,173,0.71,551,0.85,0.64,0.27,0.46,317,0.41,544,0.18,0.35,0.5,3.0,185,52
5,Denis Istomin,2018,74,13,0.56,0.77,0.47,77,0.71,154,0.85,0.64,0.27,0.46,80,0.41,154,0.18,0.35,0.5,99.0,185,29
6,Alexander Zverev,2018,379,140,0.56,0.77,0.47,221,0.71,536,0.85,0.64,0.27,0.46,332,0.41,538,0.18,0.35,0.5,4.0,198,57
7,Aljaz Bedene,2018,76,22,0.56,0.77,0.47,85,0.71,127,0.85,0.64,0.27,0.46,65,0.41,127,0.18,0.35,0.5,67.0,183,17
8,Kevin Anderson,2018,740,115,0.56,0.77,0.47,201,0.71,626,0.85,0.64,0.27,0.46,279,0.41,617,0.18,0.35,0.5,6.0,203,59
9,Adrian Mannarino,2018,168,89,0.56,0.77,0.47,207,0.71,402,0.85,0.64,0.27,0.46,163,0.41,403,0.18,0.35,0.5,41.0,180,41
10,Marin Cilic,2018,372,115,0.56,0.77,0.47,186,0.71,515,0.85,0.64,0.27,0.46,333,0.41,510,0.18,0.35,0.5,7.0,198,44
