ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
64,Basel,Swiss Indoors,22/10/18,ATP500,Indoor,Hard,1st Round,3,Fritz T.,Djere L.,57,87,913,626,6,0,7,5,,,,,,,2,0,Completed,1.57,2.25,1.67,2.3,,,1.66,2.34,1.7,2.37,1.64,2.27
64,Basel,Swiss Indoors,22/10/18,ATP500,Indoor,Hard,1st Round,3,Cilic M.,Shapovalov D.,6,29,4185,1440,6,4,6,2,,,,,,,2,0,Completed,1.44,2.62,1.47,2.85,,,1.47,2.89,1.5,3.05,1.43,2.83
64,Basel,Swiss Indoors,22/10/18,ATP500,Indoor,Hard,1st Round,3,Laaksonen H.,Cecchinato M.,175,21,315,1838,6,4,6,2,,,,,,,2,0,Completed,2.2,1.61,2.35,1.65,,,2.4,1.63,2.43,1.67,2.3,1.63
64,Basel,Swiss Indoors,22/10/18,ATP500,Indoor,Hard,1st Round,3,Copil M.,Harrison R.,93,59,608,865,6,2,7,6,,,,,,,2,0,Completed,1.57,2.25,1.57,2.55,,,1.57,2.55,1.65,2.6,1.56,2.45
64,Basel,Swiss Indoors,23/10/18,ATP500,Indoor,Hard,1st Round,3,Popyrin A.,Ebden M.,174,39,315,1134,7,6,6,4,,,,,,,2,0,Completed,2.2,1.61,2.2,1.73,,,2.31,1.68,2.4,1.75,2.23,1.66
64,Basel,Swiss Indoors,23/10/18,ATP500,Indoor,Hard,1st Round,3,Seppi A.,Daniel T.,43,74,1096,719,6,0,6,4,,,,,,,2,0,Completed,1.44,2.62,1.52,2.7,,,1.56,2.58,1.56,2.8,1.51,2.59
64,Basel,Swiss Indoors,23/10/18,ATP500,Indoor,Hard,1st Round,3,Medvedev D.,Marterer M.,20,67,1842,786,6,3,7,5,,,,,,,2,0,Completed,1.25,3.75,1.28,4,,,1.27,4.13,1.28,4.25,1.25,3.94
64,Basel,Swiss Indoors,23/10/18,ATP500,Indoor,Hard,1st Round,3,Struff J.L.,Millman J.,52,36,935,1233,7,6,6,2,,,,,,,2,0,Completed,1.9,1.8,2,1.9,,,1.93,1.96,2,1.96,1.93,1.88
64,Basel,Swiss Indoors,23/10/18,ATP500,Indoor,Hard,1st Round,3,Gojowczyk P.,Jarry N.,60,42,856,1110,1,6,7,5,6,3,,,,,2,1,Completed,1.72,2,1.85,2.05,,,1.93,1.96,1.93,2.08,1.85,1.96
64,Basel,Swiss Indoors,23/10/18,ATP500,Indoor,Hard,1st Round,3,Federer R.,Krajinovic F.,3,35,6260,1235,6,2,4,6,6,4,,,,,2,1,Completed,1.08,8,1.11,7.75,,,1.1,8.33,1.11,8.5,1.09,7.51
64,Basel,Swiss Indoors,23/10/18,ATP500,Indoor,Hard,1st Round,3,Simon G.,Mayer L.,32,54,1290,930,6,3,6,3,,,,,,,2,0,Completed,1.4,2.75,1.47,2.85,,,1.45,2.94,1.47,2.95,1.43,2.82
64,Basel,Swiss Indoors,24/10/18,ATP500,Indoor,Hard,1st Round,3,Bautista Agut R.,Sousa J.,26,48,1650,1017,6,4,6,3,,,,,,,2,0,Completed,1.25,3.75,1.3,3.85,,,1.31,3.75,1.32,3.85,1.29,3.6
