ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
58,Beijing,China Open,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Lopez F.,Coric B.,71,18,770,1825,7,5,5,7,7,5,,,,,2,1,Completed,3.75,1.25,4,1.3,3.75,1.25,4.28,1.26,4.4,1.3,3.97,1.25
58,Beijing,China Open,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Khachanov K.,Querrey S.,24,54,1605,920,6,4,6,4,,,,,,,2,0,Completed,1.53,2.37,1.65,2.4,1.61,2.25,1.59,2.49,1.65,2.5,1.57,2.41
58,Beijing,China Open,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Fucsovics M.,Seppi A.,45,46,1022,1021,6,3,6,4,,,,,,,2,0,Completed,1.66,2.1,1.8,2.15,1.8,2,1.83,2.07,1.83,2.15,1.78,2.05
58,Beijing,China Open,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Edmund K.,Gojowczyk P.,16,70,1855,786,3,6,6,1,6,2,,,,,2,1,Completed,1.44,2.62,1.5,2.85,1.44,2.75,1.53,2.67,1.53,2.94,1.48,2.67
58,Beijing,China Open,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Lajovic D.,Pospisil V.,55,83,920,687,2,6,6,4,6,4,,,,,2,1,Completed,1.57,2.25,1.7,2.3,1.61,2.25,1.71,2.25,1.72,2.38,1.67,2.22
58,Beijing,China Open,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Jaziri M.,Wu Y.,61,422,854,91,6,4,6,3,,,,,,,2,0,Completed,1.66,2.1,1.73,2.25,1.67,2.2,1.68,2.3,1.73,2.48,1.66,2.24
58,Beijing,China Open,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Berrettini M.,Mayer L.,58,52,879,965,6,3,6,2,,,,,,,2,0,Completed,1.44,2.62,1.52,2.75,1.5,2.62,1.51,2.74,1.52,2.9,1.46,2.74
58,Beijing,China Open,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Verdasco F.,Monfils G.,28,39,1420,1195,2,6,7,6,7,6,,,,,2,1,Completed,1.83,1.83,1.96,1.96,1.91,1.91,2.01,1.88,2.01,2.08,1.92,1.89
58,Beijing,China Open,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Krajinovic F.,Zverev M.,36,69,1222,790,6,1,6,4,,,,,,,2,0,Completed,1.44,2.62,1.5,2.85,1.44,2.75,1.45,2.95,1.5,3.04,1.44,2.82
58,Beijing,China Open,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Dimitrov G.,Sandgren T.,8,59,3755,862,7,5,6,3,,,,,,,2,0,Completed,,,1.27,4.3,,,1.22,4.74,1.27,4.74,1.24,4.21
58,Beijing,China Open,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Basilashvili N.,Sock J.,34,17,1257,1850,6,7,7,5,6,2,,,,,2,1,Completed,1.8,1.9,1.88,2.05,1.8,2,1.83,2.07,1.88,2.1,1.81,2.01
58,Beijing,China Open,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Del Potro J.M.,Ramos-Vinolas A.,4,50,5980,975,7,5,6,2,,,,,,,2,0,Completed,1.1,7,1.12,8,1.08,7,1.12,7.14,1.13,8,1.11,6.91
58,Beijing,China Open,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Rublev A.,Sousa J.,68,43,795,1056,6,0,6,4,,,,,,,2,0,Completed,1.66,2.1,1.8,2.15,1.73,2.1,1.81,2.09,1.85,2.2,1.75,2.09
58,Beijing,China Open,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Cecchinato M.,Baghdatis M.,22,116,1735,480,1,6,6,4,7,5,,,,,2,1,Completed,2.2,1.61,2.3,1.7,2.25,1.61,2.26,1.7,2.3,1.78,2.22,1.67
