Player,Percentage,Points Won,Total Points,Matches
Roger Federer,68.79%,119,173,44
Nick Kyrgios,68.75%,77,112,24
Karen Khachanov,68.22%,146,214,48
Ryan Harrison,67.84%,116,171,28
Kevin Anderson,67.66%,136,201,48
Alex de Minaur,67.38%,190,282,40
Steve Johnson,67.35%,99,147,27
Grigor Dimitrov,67.18%,131,195,28
Pierre-Hugues Herbert,66.95%,156,233,35
Lucas Pouille,66.85%,123,184,28
Feliciano Lopez,66.67%,102,153,24
Frances Tiafoe,66.25%,159,240,35
Novak Djokovic,66.24%,104,157,37
John Isner,65.89%,85,129,36
Marton Fucsovics,65.85%,135,205,27
Kyle Edmund,65.76%,121,184,32
Pablo Carreno Busta,65.27%,109,167,27
Denis Shapovalov,65.00%,182,280,42
Philipp Kohlschreiber,64.78%,103,159,22
Stan Wawrinka,64.67%,97,150,25
Milos Raonic,64.41%,76,118,29
Daniil Medvedev,64.34%,184,286,50
Nikoloz Basilashvili,64.19%,147,229,30
Kei Nishikori,63.36%,147,232,41
Dominic Thiem,63.25%,105,166,33
Borna Coric,63.24%,129,204,38
Taylor Fritz,63.24%,129,204,31
Andreas Seppi,63.06%,99,157,24
Juan Martin del Potro,62.65%,104,166,45
Stefanos Tsitsipas,62.45%,153,245,47
Evgeny Donskoy,62.15%,110,177,25
Fernando Verdasco,62.10%,136,219,32
Andrey Rublev,62.09%,172,277,37
David Goffin,61.87%,86,139,23
Alexander Zverev,61.54%,136,221,46
Mikhail Kukushkin,61.34%,119,194,24
Marin Cilic,61.29%,114,186,37
Roberto Bautista Agut,61.11%,121,198,30
Marius Copil,60.71%,68,112,24
Gael Monfils,60.16%,74,123,22
Richard Gasquet,59.75%,95,159,30
Jan-Lennard Struff,59.31%,86,145,26
Hyeon Chung,59.00%,154,261,43
Matthew Ebden,58.91%,119,202,28
Sam Querrey,58.78%,77,131,32
Filip Krajinovic,58.67%,115,196,30
Fabio Fognini,58.02%,123,212,32
Diego Schwartzman,57.71%,116,201,26
Robin Haase,57.67%,124,215,30
Adrian Mannarino,57.49%,119,207,33
Peter Gojowczyk,57.30%,102,178,34
Jeremy Chardy,57.14%,84,147,28
Malek Jaziri,57.07%,105,184,24
Benoit Paire,55.64%,143,257,34
Damir Dzumhur,55.51%,151,272,35
Gilles Simon,55.49%,101,182,31
Mischa Zverev,54.32%,88,162,25
Joao Sousa,48.70%,94,193,32
