Player,Percentage,Points Won,Total Points,Matches
John Isner,70.91%,78,110,42
Pablo Carreno Busta,70.79%,143,202,33
Nick Kyrgios,70.59%,96,136,28
Jeremy Chardy,70.49%,129,183,30
Jo-Wilfried Tsonga,69.74%,106,152,32
Reilly Opelka,68.97%,80,116,36
Stan Wawrinka,68.69%,147,214,35
Denis Shapovalov,67.67%,157,232,48
Alexei Popyrin,67.66%,113,167,23
Roger Federer,67.44%,87,129,40
Stefanos Tsitsipas,67.15%,184,274,54
Rafael Nadal,66.67%,64,96,30
Fernando Verdasco,66.67%,124,186,27
Dominic Thiem,66.49%,127,191,35
Gael Monfils,66.40%,164,247,41
Marin Cilic,66.28%,114,172,28
Borna Coric,66.15%,129,195,28
Hubert Hurkacz,66.06%,144,218,35
Matteo Berrettini,65.63%,126,192,36
Milos Raonic,65.06%,54,83,26
Cameron Norrie,65.05%,134,206,29
Taylor Fritz,64.88%,109,168,33
Daniil Medvedev,63.97%,174,272,58
Miomir Kecmanovic,63.84%,113,177,33
Pierre-Hugues Herbert,63.51%,94,148,23
Yoshihito Nishioka,63.25%,148,234,27
Gilles Simon,62.88%,144,229,32
Frances Tiafoe,62.60%,154,246,37
Jan-Lennard Struff,62.34%,96,154,34
Daniel Evans,62.12%,123,198,27
John Millman,62.07%,126,203,30
Roberto Bautista Agut,61.93%,109,176,37
Karen Khachanov,61.84%,128,207,33
Diego Schwartzman,61.73%,150,243,35
Jordan Thompson,61.73%,121,196,31
Andrey Rublev,61.64%,143,232,43
Peter Gojowczyk,61.49%,107,174,22
Ugo Humbert,61.44%,94,153,25
Radu Albot,61.25%,166,271,40
Grigor Dimitrov,61.20%,112,183,30
Joao Sousa,60.93%,92,151,23
Adrian Mannarino,60.47%,130,215,38
Lucas Pouille,60.23%,103,171,27
Marius Copil,60.12%,104,173,22
Felix Auger-Aliassime,60.00%,75,125,22
Benoit Paire,59.92%,151,252,36
Alexander Zverev,59.81%,128,214,38
Filip Krajinovic,59.47%,113,190,30
Andreas Seppi,59.17%,129,218,27
Novak Djokovic,59.09%,78,132,40
Kei Nishikori,59.01%,95,161,23
Damir Dzumhur,58.88%,116,197,22
Alex de Minaur,58.76%,114,194,47
David Goffin,58.49%,124,212,36
Dusan Lajovic,58.10%,104,179,23
Marton Fucsovics,58.03%,112,193,25
Sam Querrey,58.02%,76,131,27
Nikoloz Basilashvili,57.87%,147,254,32
Fabio Fognini,57.14%,120,210,26
Mikhail Kukushkin,56.45%,105,186,29
Kyle Edmund,46.99%,39,83,22
