ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
17,Dubai ,Dubai Tennis Championships,26/02/18,ATP500,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Sakharov G.,33,159,1335,342,6,4,6,2,,,,,,,2,0,Completed,1.2,4.5,1.18,4.3,1.2,4.5,1.19,5.32,1.25,5.32,1.19,4.72
17,Dubai ,Dubai Tennis Championships,26/02/18,ATP500,Outdoor,Hard,1st Round,3,Tsitsipas S.,Kukushkin M.,82,88,678,638,6,2,6,7,6,3,,,,,2,1,Completed,1.53,2.37,1.57,2.25,1.61,2.25,1.6,2.47,1.69,2.47,1.62,2.29
17,Dubai ,Dubai Tennis Championships,26/02/18,ATP500,Outdoor,Hard,1st Round,3,Bautista Agut R.,Mayer F.,23,70,1845,739,6,3,6,4,,,,,,,2,0,Completed,1.14,5.5,1.12,5.4,1.14,5.5,1.14,6.65,1.18,6.95,1.13,5.87
17,Dubai ,Dubai Tennis Championships,26/02/18,ATP500,Outdoor,Hard,1st Round,3,Haase R.,Halys Q.,43,115,1220,484,7,5,2,6,6,4,,,,,2,1,Completed,1.4,2.75,1.42,2.65,1.44,2.75,1.47,2.85,1.56,3.02,1.44,2.78
17,Dubai ,Dubai Tennis Championships,26/02/18,ATP500,Outdoor,Hard,1st Round,3,Baghdatis M.,Troicki V.,112,66,519,790,7,5,6,2,,,,,,,2,0,Completed,1.72,2,1.72,2,1.73,2.1,1.74,2.21,1.85,2.21,1.75,2.08
17,Dubai ,Dubai Tennis Championships,26/02/18,ATP500,Outdoor,Hard,1st Round,3,Paire B.,Nishioka Y.,46,179,1075,307,5,7,6,4,6,1,,,,,2,1,Completed,1.5,2.5,1.47,2.5,1.57,2.37,1.47,2.87,1.61,2.98,1.53,2.53
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Coric B.,Gasquet R.,50,37,981,1305,6,4,6,3,,,,,,,2,0,Completed,2.25,1.57,2.35,1.53,2.75,1.44,2.25,1.71,3,1.71,2.57,1.51
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Struff J.L.,Haider-Maurer A.,56,417,905,91,6,2,6,4,,,,,,,2,0,Completed,1.1,7,1.07,7,1.08,7.5,1.07,10.44,1.1,11.75,1.07,8.75
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Herbert P.H.,Sousa J.,99,72,575,730,4,6,6,4,7,6,,,,,2,1,Completed,1.57,2.25,1.65,2.1,1.73,2.1,1.81,2.09,1.84,2.45,1.69,2.18
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Krajinovic F.,Fabbiano T.,34,78,1332,688,0,6,6,2,6,2,,,,,2,1,Completed,1.28,3.5,1.3,3.2,1.33,3.4,1.31,3.74,1.38,3.8,1.32,3.37
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Pouille L.,Gulbis E.,15,195,2335,276,6,4,6,4,,,,,,,2,0,Completed,1.4,2.75,1.42,2.65,1.5,2.62,1.44,3,1.51,3.02,1.45,2.74
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Sugita Y.,Ivashka I.,42,147,1230,369,7,5,6,1,,,,,,,2,0,Completed,1.4,2.75,1.42,2.65,1.44,2.75,1.63,2.4,1.72,2.93,1.48,2.67
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Khachanov K.,Istomin D.,41,81,1235,678,7,6,7,6,,,,,,,2,0,Completed,1.44,2.62,1.45,2.55,1.53,2.5,1.45,2.94,1.57,2.94,1.49,2.62
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Jaziri M.,Dimitrov G.,117,4,481,4635,4,6,7,5,6,4,,,,,2,1,Completed,7.5,1.08,7,1.07,7.5,1.08,9.69,1.08,9.75,1.1,8.07,1.08
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Donskoy E.,Kavcic B.,74,116,727,484,6,3,6,4,,,,,,,2,0,Completed,1.3,3.4,1.3,3.2,1.33,3.25,1.4,3.18,1.43,3.6,1.34,3.25
17,Dubai ,Dubai Tennis Championships,27/02/18,ATP500,Outdoor,Hard,1st Round,3,Dzumhur D.,Maden Y.,30,138,1490,396,6,3,6,4,,,,,,,2,0,Completed,1.5,2.5,1.47,2.5,1.53,2.5,1.43,3.01,1.57,3.01,1.51,2.58
17,Dubai ,Dubai Tennis Championships,28/02/18,ATP500,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Herbert P.H.,23,99,1845,575,6,4,6,7,6,1,,,,,2,1,Completed,1.28,3.5,1.24,3.65,1.25,4,1.27,4.22,1.32,4.3,1.27,3.78
