ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
17,Dubai ,Dubai Tennis Championships,25/02/2019,ATP500,Outdoor,Hard,1st Round,3,Fucsovics M.,Dzumhur D.,35,50,1150,950,6,1,7,6,,,,,,,2,0,Completed,1.44,2.62,1.54,2.62,1.57,2.81,1.5,2.58
17,Dubai ,Dubai Tennis Championships,25/02/2019,ATP500,Outdoor,Hard,1st Round,3,Verdasco F.,Fabbiano T.,32,85,1200,653,3,6,6,3,6,2,,,,,2,1,Completed,1.4,2.75,1.43,3.03,1.45,3.15,1.4,2.93
17,Dubai ,Dubai Tennis Championships,25/02/2019,ATP500,Outdoor,Hard,1st Round,3,Struff J.L.,Raonic M.,54,14,910,2275,6,4,5,7,6,4,,,,,2,1,Completed,4.33,1.2,5.25,1.19,5.55,1.2,4.87,1.18
17,Dubai ,Dubai Tennis Championships,25/02/2019,ATP500,Outdoor,Hard,1st Round,3,Basilashvili N.,Khachanov K.,19,12,1820,2675,6,4,6,1,,,,,,,2,0,Completed,2.62,1.44,2.76,1.5,2.76,1.56,2.61,1.49
17,Dubai ,Dubai Tennis Championships,25/02/2019,ATP500,Outdoor,Hard,1st Round,3,Federer R.,Kohlschreiber P.,7,31,4100,1205,6,4,3,6,6,1,,,,,2,1,Completed,1.1,7,1.12,7.19,1.14,7.25,1.11,6.63
17,Dubai ,Dubai Tennis Championships,25/02/2019,ATP500,Outdoor,Hard,1st Round,3,Bautista Agut R.,Ramanathan R.,18,137,1955,425,6,4,6,3,,,,,,,2,0,Completed,1.07,9,1.07,10.91,1.11,11,1.07,8.41
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Berankis R.,Medvedev D.,113,15,516,2230,6,3,6,3,,,,,,,2,0,Completed,5.5,1.14,6.38,1.15,7,1.17,5.96,1.13
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Kudla D.,Berrettini M.,68,56,770,895,2,6,7,5,7,5,,,,,2,1,Completed,3.25,1.33,2.94,1.45,3.3,1.45,3.02,1.38
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Gerasimov E.,Haase R.,155,62,358,825,7,6,7,6,,,,,,,2,0,Completed,2,1.72,2,1.88,2.06,1.94,1.95,1.85
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Nishikori K.,Paire B.,6,65,4190,795,6,4,6,3,,,,,,,2,0,Completed,1.18,4.5,1.2,5.09,1.21,5.35,1.18,4.82
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Hurkacz H.,Moutet C.,77,143,715,403,6,3,7,5,,,,,,,2,0,Completed,1.57,2.25,1.65,2.37,1.67,2.5,1.6,2.34
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Baghdatis M.,Safwat M.,128,218,450,233,4,6,6,3,6,4,,,,,2,1,Completed,1.14,5.5,1.15,6.17,1.18,6.5,1.14,5.67
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Berdych T.,Ivashka I.,88,98,640,592,6,4,4,6,7,6,,,,,2,1,Completed,1.16,5,1.18,5.54,1.18,6,1.16,5.33
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Monfils G.,Cilic M.,23,10,1560,3095,6,3,4,6,6,0,,,,,2,1,Completed,1.9,1.8,1.86,2.03,2,2.05,1.88,1.93
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Coric B.,Vesely J.,13,96,2605,598,7,5,3,6,7,6,,,,,2,1,Completed,1.2,4.33,1.21,4.89,1.24,4.89,1.21,4.4
17,Dubai ,Dubai Tennis Championships,26/02/2019,ATP500,Outdoor,Hard,1st Round,3,Tsitsipas S.,Ebden M.,11,47,2965,1001,6,4,3,6,6,3,,,,,2,1,Completed,1.22,4,1.26,4.25,1.38,4.33,1.25,3.95
17,Dubai ,Dubai Tennis Championships,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Hurkacz H.,Nishikori K.,77,6,715,4190,7,5,5,7,6,2,,,,,2,1,Completed,5.5,1.14,6.35,1.15,6.46,1.2,5.69,1.14
17,Dubai ,Dubai Tennis Championships,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Berankis R.,Kudla D.,113,68,516,770,6,4,6,1,,,,,,,2,0,Completed,1.53,2.37,1.63,2.44,1.65,2.57,1.56,2.43
17,Dubai ,Dubai Tennis Championships,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Basilashvili N.,Bautista Agut R.,19,18,1820,1955,6,7,6,4,6,3,,,,,2,1,Completed,2.75,1.4,3.35,1.38,3.35,1.45,3.08,1.37
17,Dubai ,Dubai Tennis Championships,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Fucsovics M.,Struff J.L.,35,54,1150,910,6,4,6,2,,,,,,,2,0,Completed,1.53,2.37,1.6,2.5,1.67,2.5,1.6,2.33
17,Dubai ,Dubai Tennis Championships,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Monfils G.,Baghdatis M.,23,128,1560,450,6,3,6,2,,,,,,,2,0,Completed,1.14,5.5,1.12,7.43,1.19,7.43,1.14,5.82
17,Dubai ,Dubai Tennis Championships,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Gerasimov E.,11,155,2965,358,6,3,6,1,,,,,,,2,0,Completed,1.2,4.33,1.26,4.34,1.26,4.54,1.22,4.3
17,Dubai ,Dubai Tennis Championships,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Federer R.,Verdasco F.,7,32,4100,1200,6,3,3,6,6,3,,,,,2,1,Completed,1.14,5.5,1.17,5.98,1.21,6.5,1.16,5.3
17,Dubai ,Dubai Tennis Championships,27/02/2019,ATP500,Outdoor,Hard,2nd Round,3,Coric B.,Berdych T.,13,88,2605,640,1,6,6,1,7,6,,,,,2,1,Completed,2.1,1.66,2,1.91,2.3,1.91,2.06,1.76
17,Dubai ,Dubai Tennis Championships,28/02/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Monfils G.,Berankis R.,23,113,1560,516,6,1,6,7,6,2,,,,,2,1,Completed,1.16,5,1.22,4.92,1.22,5.3,1.18,4.83
17,Dubai ,Dubai Tennis Championships,28/02/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Tsitsipas S.,Hurkacz H.,11,77,2965,715,7,6,6,7,6,1,,,,,2,1,Completed,1.2,4.5,1.3,4.02,1.3,4.75,1.22,4.36
17,Dubai ,Dubai Tennis Championships,28/02/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Federer R.,Fucsovics M.,7,35,4100,1150,7,6,6,4,,,,,,,2,0,Completed,1.16,5,1.17,5.96,1.21,5.96,1.17,5.05
17,Dubai ,Dubai Tennis Championships,28/02/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Coric B.,Basilashvili N.,13,19,2605,1820,4,6,6,2,7,6,,,,,2,1,Completed,1.8,2,1.81,2.14,1.91,2.14,1.82,1.99
17,Dubai ,Dubai Tennis Championships,01/03/2019,ATP500,Outdoor,Hard,Semifinals,3,Tsitsipas S.,Monfils G.,11,23,2965,1560,4,6,7,6,7,6,,,,,2,1,Completed,2.1,1.72,2.12,1.83,2.15,1.91,2.05,1.78
17,Dubai ,Dubai Tennis Championships,01/03/2019,ATP500,Outdoor,Hard,Semifinals,3,Federer R.,Coric B.,7,13,4100,2605,6,2,6,2,,,,,,,2,0,Completed,1.36,3.2,1.41,3.24,1.41,3.28,1.38,3.07
17,Dubai ,Dubai Tennis Championships,02/03/2019,ATP500,Outdoor,Hard,The Final,3,Federer R.,Tsitsipas S.,7,11,4100,2965,6,4,6,4,,,,,,,2,0,Completed,1.28,3.75,1.36,3.54,1.36,3.99,1.32,3.44
