Player,Percentage,Games Won,Total Games,Matches
David Goffin,30.08%,80,266,23
Fabio Fognini,28.87%,112,388,32
Novak Djokovic,28.67%,127,443,37
Hyeon Chung,27.78%,145,522,43
Gilles Simon,27.67%,96,347,31
Roberto Bautista Agut,27.11%,93,343,30
Diego Schwartzman,26.74%,92,344,26
Marton Fucsovics,26.07%,91,349,27
Pablo Carreno Busta,25.83%,86,333,27
Borna Coric,25.65%,118,460,38
Juan Martin del Potro,25.52%,136,533,45
Alexander Zverev,25.46%,137,538,46
Alex de Minaur,25.41%,124,488,40
Andrey Rublev,25.23%,111,440,37
Roger Federer,25.18%,137,544,44
Filip Krajinovic,25.00%,84,336,30
Damir Dzumhur,24.62%,97,394,35
Gael Monfils,24.53%,65,265,22
Kei Nishikori,24.42%,115,471,41
Fernando Verdasco,24.23%,102,421,32
Benoit Paire,23.72%,97,409,34
Daniil Medvedev,23.65%,140,592,50
Marin Cilic,23.53%,120,510,37
Karen Khachanov,22.98%,131,570,48
Dominic Thiem,22.27%,100,449,33
Robin Haase,22.14%,87,393,30
Richard Gasquet,22.02%,74,336,30
Nikoloz Basilashvili,21.58%,82,380,30
Joao Sousa,21.51%,91,423,32
Andreas Seppi,21.23%,69,325,24
Denis Shapovalov,19.93%,110,552,42
Jan-Lennard Struff,19.47%,66,339,26
Kyle Edmund,19.30%,83,430,32
Mischa Zverev,19.03%,55,289,25
Mikhail Kukushkin,18.83%,58,308,24
Philipp Kohlschreiber,18.51%,57,308,22
Matthew Ebden,18.34%,64,349,28
Taylor Fritz,18.32%,70,382,31
Lucas Pouille,18.28%,68,372,28
Peter Gojowczyk,18.14%,74,408,34
Stefanos Tsitsipas,18.13%,103,568,47
Frances Tiafoe,18.12%,79,436,35
Adrian Mannarino,18.11%,73,403,33
Sam Querrey,17.75%,74,417,32
Evgeny Donskoy,17.52%,48,274,25
Ryan Harrison,17.25%,64,371,28
Grigor Dimitrov,16.80%,64,381,28
Pierre-Hugues Herbert,16.48%,74,449,35
Nick Kyrgios,15.93%,54,339,24
Kevin Anderson,15.72%,97,617,48
Stan Wawrinka,15.66%,52,332,25
Marius Copil,15.65%,46,294,24
Steve Johnson,15.56%,49,315,27
Jeremy Chardy,15.15%,50,330,28
Malek Jaziri,15.12%,44,291,24
Milos Raonic,14.71%,55,374,29
Feliciano Lopez,11.60%,34,293,24
John Isner,10.00%,53,530,36
