Player,Percentage,Games Won,Total Games,Matches
Novak Djokovic,31.50%,143,454,40
Rafael Nadal,30.00%,111,370,30
Diego Schwartzman,29.96%,136,454,35
Daniil Medvedev,28.80%,197,684,58
Kei Nishikori,27.41%,88,321,23
Gael Monfils,27.02%,137,507,41
Roger Federer,26.44%,124,469,40
David Goffin,25.85%,107,414,36
Andrey Rublev,25.35%,128,505,43
Marton Fucsovics,24.76%,79,319,25
Alex de Minaur,24.59%,136,553,47
Yoshihito Nishioka,24.55%,81,330,27
Nikoloz Basilashvili,24.49%,109,445,32
Filip Krajinovic,24.40%,91,373,30
Adrian Mannarino,23.91%,99,414,38
Daniel Evans,23.75%,81,341,27
Fabio Fognini,23.49%,74,315,26
Pablo Carreno Busta,23.27%,101,434,33
Roberto Bautista Agut,23.09%,112,485,37
Grigor Dimitrov,22.93%,94,410,30
Radu Albot,22.88%,108,472,40
Alexander Zverev,22.56%,104,461,38
Mikhail Kukushkin,22.36%,72,322,29
Fernando Verdasco,22.32%,79,354,27
Gilles Simon,21.99%,84,382,32
Jordan Thompson,21.72%,86,396,31
Andreas Seppi,21.57%,77,357,27
Miomir Kecmanovic,21.53%,76,353,33
Denis Shapovalov,21.26%,118,555,48
Cameron Norrie,21.10%,73,346,29
Dusan Lajovic,20.61%,61,296,23
John Millman,20.32%,76,374,30
Benoit Paire,20.23%,87,430,36
Damir Dzumhur,19.84%,49,247,22
Karen Khachanov,19.72%,86,436,33
Felix Auger-Aliassime,19.69%,50,254,22
Frances Tiafoe,19.10%,93,487,37
Hubert Hurkacz,18.94%,79,417,35
Dominic Thiem,18.68%,79,423,35
Peter Gojowczyk,18.39%,48,261,22
Stan Wawrinka,18.05%,85,471,35
Ugo Humbert,17.55%,56,319,25
Borna Coric,17.53%,64,365,28
Lucas Pouille,17.47%,65,372,27
Jan-Lennard Struff,17.19%,71,413,34
Stefanos Tsitsipas,17.10%,119,696,54
Jeremy Chardy,16.67%,70,420,30
Kyle Edmund,16.26%,40,246,22
Jo-Wilfried Tsonga,15.99%,63,394,32
Marin Cilic,15.73%,59,375,28
Matteo Berrettini,15.68%,74,472,36
Joao Sousa,15.05%,48,319,23
Pierre-Hugues Herbert,15.00%,42,280,23
Sam Querrey,14.67%,49,334,27
Alexei Popyrin,14.24%,42,295,23
Nick Kyrgios,13.86%,51,368,28
Milos Raonic,13.19%,43,326,26
Taylor Fritz,12.81%,52,406,33
Marius Copil,12.63%,37,293,22
Reilly Opelka,9.51%,47,494,36
John Isner,9.21%,50,543,42
