ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/18,ATP500,Indoor,Hard,1st Round,3,Lopez F.,Klizan M.,37,150,1295,376,6,3,7,6,,,,,,,2,0,Completed,2,1.72,1.95,1.75,2,1.8,2.07,1.83,2.18,1.87,2.01,1.79
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/18,ATP500,Indoor,Hard,1st Round,3,Berdych T.,Zverev M.,17,53,2320,952,7,5,6,3,,,,,,,2,0,Completed,1.16,5,1.15,4.75,1.17,5,1.17,5.62,1.2,5.88,1.16,5.16
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/18,ATP500,Indoor,Hard,1st Round,3,Zverev A.,Ferrer D.,4,39,4450,1280,6,4,6,3,,,,,,,2,0,Completed,1.36,3,1.33,3.05,1.36,3.25,1.32,3.66,1.38,3.8,1.33,3.28
12,Rotterdam,ABN AMRO World Tennis Tournament,12/02/18,ATP500,Indoor,Hard,1st Round,3,Seppi A.,Sousa J.,81,68,686,755,6,4,1,6,6,2,,,,,2,1,Completed,1.8,1.9,1.75,1.95,1.8,2,1.8,2.11,1.94,2.15,1.78,2.02
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/18,ATP500,Indoor,Hard,1st Round,3,Kohlschreiber P.,Khachanov K.,36,48,1335,1030,3,6,7,6,7,6,,,,,2,1,Completed,2.37,1.53,2.3,1.55,2.25,1.61,2.24,1.71,2.62,1.74,2.32,1.61
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/18,ATP500,Indoor,Hard,1st Round,3,Troicki V.,Struff J.L.,67,56,755,905,1,6,7,6,6,2,,,,,2,1,Completed,2.2,1.61,2.2,1.6,2.2,1.67,2.33,1.67,2.43,1.75,2.26,1.64
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/18,ATP500,Indoor,Hard,1st Round,3,Medvedev D.,Muller G.,57,28,894,1535,6,4,7,6,,,,,,,2,0,Completed,1.72,2,1.85,1.85,1.91,1.91,1.9,1.99,1.91,2.1,1.84,1.96
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/18,ATP500,Indoor,Hard,1st Round,3,Goffin D.,Mahut N.,7,101,3400,547,6,1,6,3,,,,,,,2,0,Completed,1.12,6,1.13,5.2,1.17,5,1.15,6.16,1.18,6.25,1.14,5.66
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/18,ATP500,Indoor,Hard,1st Round,3,Griekspoor T.,Wawrinka S.,259,13,197,2475,4,6,6,3,6,2,,,,,2,1,Completed,7,1.1,5.6,1.11,5.5,1.14,6.81,1.13,7,1.15,6.4,1.12
12,Rotterdam,ABN AMRO World Tennis Tournament,13/02/18,ATP500,Indoor,Hard,1st Round,3,Krajinovic F.,Auger-Aliassime F.,38,168,1283,327,6,2,3,6,7,5,,,,,2,1,Completed,1.57,2.25,1.57,2.25,1.61,2.25,1.7,2.27,1.71,2.39,1.65,2.24
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/18,ATP500,Indoor,Hard,1st Round,3,Herbert P.H.,Gasquet R.,80,33,690,1375,3,1,,,,,,,,,0,0,Retired,3,1.36,3.05,1.33,3,1.4,3.27,1.38,3.5,1.44,3.14,1.36
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/18,ATP500,Indoor,Hard,1st Round,3,Rublev A.,Pouille L.,34,16,1355,2335,7,5,6,4,,,,,,,2,0,Completed,1.72,2,1.75,1.95,1.8,2,1.87,2.02,1.92,2.1,1.81,2
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/18,ATP500,Indoor,Hard,1st Round,3,Dzumhur D.,Copil M.,29,74,1490,731,6,4,6,4,,,,,,,2,0,Completed,1.4,2.75,1.45,2.55,1.5,2.62,1.56,2.56,1.58,2.77,1.48,2.63
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/18,ATP500,Indoor,Hard,1st Round,3,Haase R.,De Bakker T.,42,352,1175,121,6,2,6,2,,,,,,,2,0,Completed,1.4,2.75,1.4,2.75,1.44,2.75,1.43,3.01,1.5,3.1,1.4,2.91
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/18,ATP500,Indoor,Hard,1st Round,3,Dimitrov G.,Sugita Y.,5,41,4425,1235,6,4,7,6,,,,,,,2,0,Completed,1.22,4,1.21,3.95,1.22,4.33,1.24,4.46,1.26,4.7,1.22,4.27
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/18,ATP500,Indoor,Hard,1st Round,3,Federer R.,Bemelmans R.,2,116,9605,498,6,1,6,2,,,,,,,2,0,Completed,1.03,15,1.02,10,1.03,12,1.03,16.83,1.04,17.54,1.03,13.66
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/18,ATP500,Indoor,Hard,2nd Round,3,Goffin D.,Lopez F.,7,37,3400,1295,6,1,6,3,,,,,,,2,0,Completed,1.2,4.5,1.17,4.4,1.17,5,1.19,5.42,1.22,5.8,1.18,4.94
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/18,ATP500,Indoor,Hard,2nd Round,3,Berdych T.,Troicki V.,17,67,2320,755,6,1,6,2,,,,,,,2,0,Completed,1.2,4.5,1.19,4.2,1.22,4.33,1.22,4.91,1.24,5.05,1.2,4.51
12,Rotterdam,ABN AMRO World Tennis Tournament,14/02/18,ATP500,Indoor,Hard,2nd Round,3,Seppi A.,Zverev A.,81,4,686,4450,6,4,6,3,,,,,,,2,0,Completed,5,1.16,4.4,1.17,4.5,1.2,5.76,1.18,5.95,1.22,5,1.17
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/18,ATP500,Indoor,Hard,2nd Round,3,Rublev A.,Dzumhur D.,34,29,1355,1490,6,4,7,6,,,,,,,2,0,Completed,1.4,2.75,1.38,2.8,1.4,3,1.43,3.1,1.47,3.16,1.42,2.87
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/18,ATP500,Indoor,Hard,2nd Round,3,Medvedev D.,Herbert P.H.,57,80,894,690,3,6,7,6,6,4,,,,,2,1,Completed,1.53,2.37,1.53,2.35,1.53,2.5,1.58,2.56,1.6,2.65,1.54,2.48
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/18,ATP500,Indoor,Hard,2nd Round,3,Dimitrov G.,Krajinovic F.,5,38,4425,1283,7,6,7,5,,,,,,,2,0,Completed,1.16,5,1.15,4.75,1.17,5,1.17,5.8,1.19,6.25,1.16,5.22
12,Rotterdam,ABN AMRO World Tennis Tournament,15/02/18,ATP500,Indoor,Hard,2nd Round,3,Federer R.,Kohlschreiber P.,2,36,9605,1335,7,6,7,5,,,,,,,2,0,Completed,1.04,13,1.03,9,1.05,10,1.05,13.82,1.06,14.75,1.04,11.36
