Player,Percentage,Games Won,Total Games,Matches
John Isner,94.12%,512,544,42
Reilly Opelka,92.93%,473,509,36
Rafael Nadal,91.58%,348,380,30
Milos Raonic,91.27%,303,332,26
Roger Federer,91.12%,431,473,40
Nick Kyrgios,88.92%,321,361,28
Novak Djokovic,88.51%,416,470,40
Jo-Wilfried Tsonga,88.27%,346,392,32
Stefanos Tsitsipas,87.31%,619,709,54
Jeremy Chardy,87.08%,364,418,30
Denis Shapovalov,86.58%,484,559,48
Pablo Carreno Busta,86.50%,378,437,33
Roberto Bautista Agut,86.24%,420,487,37
Matteo Berrettini,85.99%,405,471,36
Stan Wawrinka,85.89%,408,475,35
Jan-Lennard Struff,85.78%,350,408,34
Daniil Medvedev,85.71%,588,686,58
Taylor Fritz,85.61%,351,410,33
Alex de Minaur,85.43%,469,549,47
Dominic Thiem,84.98%,362,426,35
Marin Cilic,84.57%,318,376,28
Gael Monfils,84.10%,439,522,41
Sam Querrey,83.78%,284,339,27
Grigor Dimitrov,83.05%,348,419,30
Fernando Verdasco,82.63%,295,357,27
Kyle Edmund,82.47%,207,251,22
Hubert Hurkacz,82.46%,348,422,35
Lucas Pouille,82.25%,315,383,27
Andrey Rublev,82.20%,411,500,43
Borna Coric,82.11%,303,369,28
Ugo Humbert,81.79%,265,324,25
Miomir Kecmanovic,81.66%,285,349,33
Karen Khachanov,81.59%,350,429,33
Alexander Zverev,81.51%,379,465,38
Alexei Popyrin,81.44%,237,291,23
Jordan Thompson,81.25%,325,400,31
Frances Tiafoe,81.19%,397,489,37
Joao Sousa,81.15%,254,313,23
Pierre-Hugues Herbert,81.05%,231,285,23
Felix Auger-Aliassime,80.39%,205,255,22
John Millman,79.79%,304,381,30
Kei Nishikori,79.44%,255,321,23
Adrian Mannarino,79.32%,326,411,38
Filip Krajinovic,79.30%,295,372,30
Diego Schwartzman,79.19%,354,447,35
Cameron Norrie,79.19%,274,346,29
David Goffin,78.64%,324,412,36
Radu Albot,77.56%,363,468,40
Daniel Evans,77.54%,259,334,27
Gilles Simon,77.51%,293,378,32
Marius Copil,76.69%,227,296,22
Benoit Paire,76.35%,326,427,36
Nikoloz Basilashvili,76.01%,339,446,32
Mikhail Kukushkin,75.00%,243,324,29
Andreas Seppi,74.93%,266,355,27
Dusan Lajovic,74.49%,219,294,23
Marton Fucsovics,74.12%,232,313,25
Peter Gojowczyk,74.03%,191,258,22
Yoshihito Nishioka,73.86%,243,329,27
Fabio Fognini,71.25%,223,313,26
Damir Dzumhur,66.53%,161,242,22
