ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
59,Tokyo,Rakuten Japan Open Tennis Championships,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Raonic M.,Mannarino A.,20,33,1755,1285,6,3,6,4,,,,,,,2,0,Completed,1.2,4.33,1.24,4.5,1.25,4,1.25,4.36,1.24,4.8,1.22,4.35
59,Tokyo,Rakuten Japan Open Tennis Championships,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Paire B.,Jarry N.,63,47,850,1020,6,4,7,6,,,,,,,2,0,Completed,1.5,2.5,1.53,2.65,1.5,2.62,1.52,2.71,1.6,2.75,1.5,2.61
59,Tokyo,Rakuten Japan Open Tennis Championships,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Shapovalov D.,Chung H.,31,23,1295,1630,6,3,3,6,6,2,,,,,2,1,Completed,1.66,2.1,1.7,2.25,1.61,2.25,1.63,2.4,1.73,2.4,1.66,2.23
59,Tokyo,Rakuten Japan Open Tennis Championships,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Watanuki Y.,Haase R.,273,44,188,1045,6,7,6,4,6,1,,,,,2,1,Completed,2.75,1.4,2.7,1.52,2.5,1.53,2.5,1.59,2.8,1.61,2.52,1.53
59,Tokyo,Rakuten Japan Open Tennis Championships,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Nishikori K.,Sugita Y.,12,110,2520,510,6,4,6,1,,,,,,,2,0,Completed,1.08,8,1.12,7.25,1.11,6.5,1.12,7.43,1.14,8.25,1.1,7.15
59,Tokyo,Rakuten Japan Open Tennis Championships,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Klizan M.,Johnson S.,51,30,967,1340,6,4,7,6,,,,,,,2,0,Completed,1.66,2.1,1.73,2.2,1.73,2.1,1.81,2.1,1.81,2.25,1.71,2.16
59,Tokyo,Rakuten Japan Open Tennis Championships,01/10/18,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Schwartzman D.,32,14,1287,2110,6,4,6,4,,,,,,,2,0,Completed,1.66,2.1,1.73,2.2,1.67,2.2,1.74,2.2,1.74,2.39,1.67,2.22
59,Tokyo,Rakuten Japan Open Tennis Championships,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Gasquet R.,Kudla D.,25,65,1580,815,7,6,6,3,,,,,,,2,0,Completed,1.4,2.75,1.43,3,1.4,3,1.42,3.06,1.43,3.2,1.39,3
59,Tokyo,Rakuten Japan Open Tennis Championships,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Tiafoe F.,Marterer M.,41,57,1090,903,7,5,6,4,,,,,,,2,0,Completed,1.57,2.25,1.65,2.35,1.61,2.25,1.61,2.44,1.65,2.47,1.59,2.37
59,Tokyo,Rakuten Japan Open Tennis Championships,02/10/18,ATP500,Outdoor,Hard,1st Round,3,Chardy J.,Dzumhur D.,42,40,1075,1145,4,6,6,3,6,3,,,,,2,1,Completed,2,1.72,2.1,1.8,2,1.8,2,1.89,2.15,1.89,2.06,1.77
