,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_saved,service_games_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_converted,return_games_won,rank,height (cm),matches_played,target,aces_per_match,double_faults_per_match,break_points_opportunities_per_match,break_points_faced_per_match
0,0.69,0.74,0.6,0.72,0.89,0.32,0.55,0.4,0.28,1,185,58,1,3.2413793103448274,1.5689655172413792,7.258620689655173,3.9655172413793105
2,0.61,0.79,0.59,0.66,0.91,0.32,0.51,0.41,0.27,2,185,51,1,8.313725490196079,1.7058823529411764,7.372549019607843,3.2549019607843137
4,0.64,0.78,0.52,0.71,0.88,0.3,0.52,0.37,0.24,3,191,59,1,6.915254237288136,3.1186440677966103,6.779661016949152,4.440677966101695
8,0.58,0.74,0.51,0.65,0.82,0.29,0.48,0.39,0.22,5,185,52,1,5.230769230769231,2.6153846153846154,5.8076923076923075,5.461538461538462
10,0.58,0.77,0.5,0.61,0.81,0.3,0.5,0.37,0.22,6,198,41,1,9.0,2.731707317073171,6.170731707317073,5.195121951219512
20,0.58,0.75,0.52,0.65,0.84,0.26,0.52,0.36,0.21,49,188,44,1,5.568181818181818,2.5681818181818183,6.545454545454546,5.181818181818182
21,0.64,0.8,0.54,0.7,0.91,0.27,0.48,0.37,0.17,11,203,34,1,13.676470588235293,2.5,5.176470588235294,3.588235294117647
26,0.64,0.73,0.55,0.62,0.85,0.31,0.55,0.49,0.26,14,188,16,1,3.375,1.875,5.75,4.4375
30,0.66,0.66,0.47,0.63,0.73,0.33,0.52,0.38,0.32,76,188,50,1,0.6,0.62,1.64,1.4
32,0.63,0.81,0.55,0.65,0.9,0.27,0.47,0.39,0.19,17,193,46,1,9.347826086956522,2.717391304347826,4.3478260869565215,2.391304347826087
36,0.55,0.78,0.51,0.64,0.84,0.26,0.54,0.49,0.23,20,196,31,1,6.774193548387097,2.7096774193548385,4.645161290322581,4.612903225806452
44,0.6,0.81,0.5,0.68,0.89,0.25,0.46,0.34,0.13,25,193,33,1,12.484848484848484,3.3333333333333335,3.878787878787879,3.6363636363636362
46,0.6,0.69,0.53,0.6,0.77,0.31,0.57,0.42,0.31,26,170,37,1,2.7837837837837838,2.2162162162162162,8.783783783783784,6.621621621621622
68,0.59,0.76,0.47,0.57,0.81,0.27,0.51,0.38,0.23,58,185,40,1,3.5,1.9,3.2,2.325
84,0.53,0.73,0.48,0.55,0.75,0.26,0.51,0.39,0.21,97,185,49,1,3.1020408163265305,2.020408163265306,4.020408163265306,3.9591836734693877
113,0.59,0.77,0.46,0.58,0.77,0.25,0.45,0.42,0.15,80,193,44,1,1.9318181818181819,0.45454545454545453,1.0227272727272727,1.6363636363636365
