,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_saved,service_games_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_converted,return_games_won,rank,height (cm),matches_played,target,aces_per_match,double_faults_per_match,break_points_opportunities_per_match,break_points_faced_per_match
0,0.69,0.74,0.6,0.72,0.89,0.32,0.55,0.4,0.28,1,185,58,1,3.2413793103448274,1.5689655172413792,7.258620689655173,3.9655172413793105
1,0.66,0.69,0.49,0.65,0.81,0.24,0.48,0.47,0.17,81,170,12,0,1.4166666666666667,1.0833333333333333,1.25,1.9166666666666667
2,0.61,0.79,0.59,0.66,0.91,0.32,0.51,0.41,0.27,2,185,51,1,8.313725490196079,1.7058823529411764,7.372549019607843,3.2549019607843137
3,0.58,0.73,0.48,0.47,0.74,0.3,0.49,0.35,0.2,51,183,26,0,4.884615384615385,1.7307692307692308,4.0,3.269230769230769
4,0.64,0.78,0.52,0.71,0.88,0.3,0.52,0.37,0.24,3,191,59,1,6.915254237288136,3.1186440677966103,6.779661016949152,4.440677966101695
5,0.65,0.68,0.5,0.74,0.83,0.28,0.45,0.6,0.2,224,183,6,0,2.1666666666666665,2.0,1.6666666666666667,3.1666666666666665
6,0.62,0.75,0.52,0.67,0.85,0.27,0.49,0.44,0.21,4,198,56,1,6.375,3.4107142857142856,4.785714285714286,4.5
7,0.63,0.63,0.47,0.5,0.63,0.31,0.53,0.33,0.22,72,173,59,0,0.3898305084745763,0.8813559322033898,1.847457627118644,1.9491525423728813
8,0.58,0.74,0.51,0.65,0.82,0.29,0.48,0.39,0.22,5,185,52,1,5.230769230769231,2.6153846153846154,5.8076923076923075,5.461538461538462
9,0.66,0.69,0.53,0.62,0.8,0.26,0.52,0.39,0.2,56,183,24,0,3.875,2.375,5.666666666666667,5.875
10,0.58,0.77,0.5,0.61,0.81,0.3,0.5,0.37,0.22,6,198,41,1,9.0,2.731707317073171,6.170731707317073,5.195121951219512
11,0.54,0.76,0.5,0.52,0.78,0.25,0.44,0.38,0.14,108,193,53,0,1.830188679245283,0.6792452830188679,1.1320754716981132,1.3773584905660377
12,0.58,0.74,0.52,0.62,0.81,0.29,0.54,0.42,0.26,7,180,68,0,5.235294117647059,2.5294117647058822,6.544117647058823,5.323529411764706
14,0.6,0.66,0.51,0.57,0.73,0.28,0.52,0.42,0.25,41,175,47,0,1.297872340425532,1.0212765957446808,2.7872340425531914,2.9148936170212765
15,0.6,0.73,0.52,0.61,0.82,0.28,0.51,0.36,0.2,8,191,58,0,5.568965517241379,3.3448275862068964,5.637931034482759,4.603448275862069
16,0.6,0.74,0.56,0.65,0.85,0.3,0.48,0.37,0.21,9,183,22,0,7.636363636363637,2.3636363636363638,6.818181818181818,5.2727272727272725
17,0.56,0.69,0.51,0.48,0.74,0.27,0.51,0.39,0.22,138,175,22,0,1.4545454545454546,1.1818181818181819,3.0,2.5454545454545454
18,0.66,0.67,0.52,0.63,0.77,0.27,0.5,0.44,0.24,10,188,41,1,2.951219512195122,1.4878048780487805,5.121951219512195,5.804878048780488
20,0.58,0.75,0.52,0.65,0.84,0.26,0.52,0.36,0.21,49,188,44,1,5.568181818181818,2.5681818181818183,6.545454545454546,5.181818181818182
21,0.64,0.8,0.54,0.7,0.91,0.27,0.48,0.37,0.17,11,203,34,1,13.676470588235293,2.5,5.176470588235294,3.588235294117647
22,0.64,0.76,0.51,0.61,0.85,0.27,0.51,0.4,0.21,12,198,47,0,7.829787234042553,2.0638297872340425,5.872340425531915,4.276595744680851
23,0.57,0.71,0.53,0.53,0.8,0.26,0.47,0.38,0.18,79,188,41,0,3.268292682926829,1.3414634146341464,2.8780487804878048,2.5365853658536586
24,0.56,0.79,0.51,0.62,0.83,0.3,0.51,0.45,0.25,13,198,45,0,9.8,2.888888888888889,5.288888888888889,4.333333333333333
25,0.58,0.77,0.48,0.66,0.81,0.24,0.45,0.35,0.16,36,188,26,0,9.5,2.9615384615384617,4.923076923076923,6.384615384615385
26,0.64,0.73,0.55,0.62,0.85,0.31,0.55,0.49,0.26,14,188,16,1,3.375,1.875,5.75,4.4375
27,0.6,0.69,0.49,0.61,0.75,0.28,0.47,0.44,0.21,63,183,38,0,3.8947368421052633,3.9210526315789473,5.184210526315789,7.2105263157894735
28,0.6,0.81,0.53,0.64,0.89,0.28,0.52,0.42,0.23,15,188,47,1,8.191489361702128,1.8085106382978724,5.276595744680851,2.9361702127659575
30,0.66,0.66,0.47,0.63,0.73,0.33,0.52,0.38,0.32,76,188,50,1,0.6,0.62,1.64,1.4
31,0.71,0.8,0.56,0.74,0.93,0.21,0.42,0.37,0.1,16,208,49,0,14.510204081632653,1.9387755102040816,2.795918367346939,2.795918367346939
32,0.63,0.81,0.55,0.65,0.9,0.27,0.47,0.39,0.19,17,193,46,1,9.347826086956522,2.717391304347826,4.3478260869565215,2.391304347826087
33,0.6,0.66,0.46,0.55,0.68,0.31,0.46,0.32,0.2,100,178,23,0,2.8260869565217392,2.217391304347826,4.173913043478261,4.782608695652174
34,0.64,0.69,0.5,0.53,0.78,0.25,0.43,0.3,0.12,119,183,45,0,1.0222222222222221,0.35555555555555557,0.8222222222222222,1.0
