ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
65,Vienna,Erste Bank Open,22/10/18,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Auger-Aliassime F.,40,109,1117,534,1,6,6,0,7,5,,,,,2,1,Completed,1.57,2.25,1.65,2.35,,,1.58,2.52,1.65,2.56,1.59,2.37
65,Vienna,Erste Bank Open,22/10/18,ATP500,Indoor,Hard,1st Round,3,Coric B.,Ramos-Vinolas A.,13,64,2415,805,6,7,6,0,6,4,,,,,2,1,Completed,1.11,6.5,1.12,7.25,,,1.11,7.65,1.15,8.27,1.09,7.33
65,Vienna,Erste Bank Open,22/10/18,ATP500,Indoor,Hard,1st Round,3,Rublev A.,Kudla D.,76,62,715,837,7,6,6,0,,,,,,,2,0,Completed,1.66,2.1,1.7,2.25,,,1.63,2.4,1.73,2.4,1.65,2.26
65,Vienna,Erste Bank Open,22/10/18,ATP500,Indoor,Hard,1st Round,3,Anderson K.,Basilashvili N.,8,24,3730,1767,4,6,7,6,6,3,,,,,2,1,Completed,1.36,3,1.42,3.1,,,1.41,3.13,1.42,3.16,1.39,3.02
65,Vienna,Erste Bank Open,22/10/18,ATP500,Indoor,Hard,1st Round,3,Melzer J.,Raonic M.,426,22,88,1810,7,6,7,5,,,,,,,2,0,Completed,4.5,1.18,5.5,1.18,,,5.39,1.19,6.92,1.2,5.24,1.17
65,Vienna,Erste Bank Open,23/10/18,ATP500,Indoor,Hard,1st Round,3,Nishikori K.,Tiafoe F.,11,45,2910,1055,7,6,5,7,6,2,,,,,2,1,Completed,1.28,3.5,1.3,3.85,,,1.26,4.3,1.3,4.35,1.26,3.92
65,Vienna,Erste Bank Open,23/10/18,ATP500,Indoor,Hard,1st Round,3,Verdasco F.,Herbert P.H.,30,50,1410,948,6,7,6,3,6,4,,,,,2,1,Completed,1.72,2,1.77,2.15,,,1.78,2.14,1.87,2.15,1.79,2.03
65,Vienna,Erste Bank Open,23/10/18,ATP500,Indoor,Hard,1st Round,3,Isner J.,Norrie C.,9,85,3380,646,6,7,6,4,7,6,,,,,2,1,Completed,1.57,2.25,1.62,2.4,,,1.56,2.59,1.65,2.65,1.57,2.41
65,Vienna,Erste Bank Open,23/10/18,ATP500,Indoor,Hard,1st Round,3,Pouille L.,Kohlschreiber P.,23,34,1780,1260,6,4,6,7,6,4,,,,,2,1,Completed,2.2,1.61,2.3,1.67,,,2.31,1.68,2.36,1.69,2.26,1.65
65,Vienna,Erste Bank Open,23/10/18,ATP500,Indoor,Hard,1st Round,3,Fognini F.,Dzumhur D.,15,51,2315,940,6,4,6,3,,,,,,,2,0,Completed,1.66,2.1,1.7,2.25,,,1.69,2.28,1.74,2.3,1.68,2.19
65,Vienna,Erste Bank Open,23/10/18,ATP500,Indoor,Hard,1st Round,3,Thiem D.,Bemelmans R.,7,134,3825,434,7,5,7,6,,,,,,,2,0,Completed,1.16,5,1.17,5.75,,,1.13,6.84,1.18,6.84,1.16,5.34
65,Vienna,Erste Bank Open,23/10/18,ATP500,Indoor,Hard,1st Round,3,Querrey S.,Tsonga J.W.,56,113,920,510,6,3,3,6,6,3,,,,,2,1,Completed,2.2,1.61,2.25,1.7,,,2.13,1.79,2.33,1.79,2.19,1.68
65,Vienna,Erste Bank Open,24/10/18,ATP500,Indoor,Hard,1st Round,3,Monfils G.,Johnson S.,33,37,1265,1190,4,6,6,3,6,2,,,,,2,1,Completed,1.57,2.25,1.57,2.55,,,1.54,2.64,1.6,2.7,1.53,2.53
65,Vienna,Erste Bank Open,24/10/18,ATP500,Indoor,Hard,1st Round,3,Edmund K.,Schwartzman D.,14,17,2330,1880,6,3,7,6,,,,,,,2,0,Completed,1.44,2.62,1.55,2.6,,,1.56,2.56,1.57,2.79,1.53,2.52
65,Vienna,Erste Bank Open,24/10/18,ATP500,Indoor,Hard,1st Round,3,Khachanov K.,Novak D.,19,137,1845,427,6,3,7,5,,,,,,,2,0,Completed,1.2,4.33,1.21,5,,,1.19,5.39,1.21,6,1.18,4.91
65,Vienna,Erste Bank Open,24/10/18,ATP500,Indoor,Hard,1st Round,3,Kukushkin M.,Dimitrov G.,71,10,750,3335,6,4,4,6,6,4,,,,,2,1,Completed,4,1.22,2.75,1.5,,,3.51,1.33,4.2,1.52,3.39,1.33
