ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
49,Washington,Citi Open,30/07/18,ATP500,Outdoor,Hard,1st Round,3,Hurkacz H.,Ivashka I.,120,126,474,459,6,4,6,3,,,,,,,2,0,Completed,1.72,2,1.72,2,1.73,2.1,1.75,2.19,1.8,2.26,1.73,2.12
49,Washington,Citi Open,30/07/18,ATP500,Outdoor,Hard,1st Round,3,Smyczek T.,Berankis R.,101,94,544,599,7,6,6,2,,,,,,,2,0,Completed,1.66,2.1,1.65,2.1,1.67,2.2,1.81,2.09,1.81,2.36,1.69,2.18
49,Washington,Citi Open,30/07/18,ATP500,Outdoor,Hard,1st Round,3,Jaziri M.,Donskoy E.,64,76,884,731,6,4,6,1,,,,,,,2,0,Completed,1.8,1.9,1.75,1.95,1.8,2,1.81,2.1,1.97,2.2,1.79,2.03
49,Washington,Citi Open,31/07/18,ATP500,Outdoor,Hard,1st Round,3,Murray A.,Mcdonald M.,832,80,20,717,3,6,6,4,7,5,,,,,2,1,Completed,1.25,3.75,1.27,3.45,1.3,3.5,1.28,4.07,1.3,4.25,1.27,3.76
49,Washington,Citi Open,31/07/18,ATP500,Outdoor,Hard,1st Round,3,Rubin N.,Youzhny M.,152,102,373,540,6,4,6,4,,,,,,,2,0,Completed,1.57,2.25,1.62,2.15,1.67,2.2,1.67,2.32,1.69,2.32,1.65,2.23
49,Washington,Citi Open,31/07/18,ATP500,Outdoor,Hard,1st Round,3,Copil M.,Basic M.,93,83,617,695,7,6,6,4,,,,,,,2,0,Completed,1.61,2.2,1.62,2.15,1.67,2.2,1.68,2.3,1.69,2.3,1.64,2.23
49,Washington,Citi Open,31/07/18,ATP500,Outdoor,Hard,1st Round,3,Donaldson J.,Thompson J.,62,97,900,589,6,4,7,6,,,,,,,2,0,Completed,1.4,2.75,1.42,2.65,1.44,2.75,1.47,2.86,1.5,3.01,1.46,2.72
49,Washington,Citi Open,31/07/18,ATP500,Outdoor,Hard,1st Round,3,Duckworth J.,Kwiatkowski T.S.,654,393,38,100,6,3,7,5,,,,,,,2,0,Completed,1.4,2.75,1.37,2.85,1.4,3,1.45,2.96,1.5,3.1,1.41,2.9
49,Washington,Citi Open,31/07/18,ATP500,Outdoor,Hard,1st Round,3,Kudla D.,Lacko L.,85,75,683,746,6,7,6,1,6,4,,,,,2,1,Completed,1.72,2,1.8,1.9,1.91,1.91,1.83,2.06,2,2.05,1.93,1.87
49,Washington,Citi Open,31/07/18,ATP500,Outdoor,Hard,1st Round,3,Medvedev D.,Watanuki Y.,63,287,892,178,3,6,7,5,6,1,,,,,2,1,Completed,1.36,3,1.37,2.85,1.4,3,1.37,3.32,1.42,3.34,1.37,3.1
49,Washington,Citi Open,31/07/18,ATP500,Outdoor,Hard,1st Round,3,De Minaur A.,Pospisil V.,72,92,803,619,6,7,6,2,6,3,,,,,2,1,Completed,1.57,2.25,1.57,2.25,1.61,2.25,1.66,2.35,1.67,2.4,1.62,2.3
49,Washington,Citi Open,31/07/18,ATP500,Outdoor,Hard,1st Round,3,Baghdatis M.,Paire B.,91,55,644,920,6,3,3,6,6,2,,,,,2,1,Completed,1.72,2,1.75,1.95,1.8,2,1.89,1.99,1.89,2.15,1.79,2.02
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,1st Round,3,Young D.,Wawrinka S.,234,198,242,290,6,4,6,7,7,6,,,,,2,1,Completed,3.25,1.33,3.1,1.32,3.25,1.36,3.41,1.36,3.41,1.38,3.23,1.34
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,1st Round,3,Herbert P.H.,Krueger M.,78,217,725,260,7,5,6,3,,,,,,,2,0,Completed,1.53,2.37,1.55,2.3,1.57,2.37,1.57,2.54,1.65,2.54,1.59,2.37
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,1st Round,3,Millot V.,Sugita Y.,291,73,174,785,6,3,6,2,,,,,,,2,0,Completed,3.5,1.28,3.35,1.28,3.5,1.28,3.39,1.36,3.65,1.38,3.35,1.33
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,1st Round,3,Paul T.,Bolt A.,256,166,216,338,3,6,7,6,6,2,,,,,2,1,Completed,1.66,2.1,1.72,2,1.73,2.1,1.78,2.14,1.8,2.19,1.74,2.09
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Copil M.,Chardy J.,93,43,617,1025,6,4,6,4,,,,,,,2,0,Completed,2.5,1.5,2.4,1.5,2.5,1.53,2.52,1.59,2.62,1.59,2.47,1.55
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Tiafoe F.,Hurkacz H.,41,120,1040,474,6,2,6,4,,,,,,,2,0,Completed,1.44,2.62,1.42,2.65,1.44,2.75,1.49,2.85,1.49,2.94,1.45,2.73
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Kudla D.,Khachanov K.,85,37,683,1175,6,2,6,3,,,,,,,2,0,Completed,3,1.36,2.85,1.37,3,1.4,3.08,1.43,3.2,1.44,2.97,1.39
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Duckworth J.,Kubler J.,654,105,38,528,1,6,6,2,7,6,,,,,2,1,Completed,,,,,4,1.22,,,4,1.22,4,1.22
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Zverev M.,Smyczek T.,42,101,1030,544,6,2,7,6,,,,,,,2,0,Completed,1.5,2.5,1.55,2.3,1.61,2.25,1.59,2.53,1.63,2.58,1.57,2.4
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Shapovalov D.,Medvedev D.,26,63,1530,892,3,6,6,1,6,4,,,,,2,1,Completed,1.5,2.5,1.53,2.35,1.53,2.5,1.65,2.39,1.65,2.55,1.58,2.38
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Tsitsipas S.,Donaldson J.,32,62,1399,900,3,6,6,3,7,5,,,,,2,1,Completed,1.66,2.1,1.72,2,1.73,2.1,1.79,2.15,1.83,2.15,1.76,2.07
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Murray A.,Edmund K.,832,18,20,1950,7,6,1,6,6,4,,,,,2,1,Completed,2.25,1.57,2.2,1.6,2.37,1.57,2.44,1.63,2.44,1.74,2.27,1.64
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Pouille L.,Millot V.,19,291,1835,174,6,7,6,4,3,0,,,,,1,1,Retired,1.22,4,1.23,3.75,1.25,4,1.26,4.3,1.31,4.3,1.26,3.86
49,Washington,Citi Open,01/08/18,ATP500,Outdoor,Hard,2nd Round,3,Chung H.,Baghdatis M.,23,91,1685,644,6,7,6,4,6,3,,,,,2,1,Completed,1.5,2.5,1.47,2.5,1.5,2.62,1.54,2.66,1.59,2.7,1.53,2.52
49,Washington,Citi Open,02/08/18,ATP500,Outdoor,Hard,2nd Round,3,Goffin D.,Herbert P.H.,11,78,3120,725,6,2,1,6,7,6,,,,,2,1,Completed,1.36,3,1.38,2.8,1.4,3,1.45,2.97,1.45,3,1.41,2.87
49,Washington,Citi Open,02/08/18,ATP500,Outdoor,Hard,2nd Round,3,Zverev A.,Jaziri M.,3,64,5665,884,6,2,6,1,,,,,,,2,0,Completed,1.11,6.5,1.11,5.6,1.11,6.5,1.15,6.57,1.15,7,1.12,6.2
49,Washington,Citi Open,02/08/18,ATP500,Outdoor,Hard,2nd Round,3,Nishikori K.,Young D.,20,234,1800,242,6,3,6,4,,,,,,,2,0,Completed,1.16,5,1.16,4.6,1.2,4.5,1.17,5.89,1.23,6,1.18,4.97
49,Washington,Citi Open,02/08/18,ATP500,Outdoor,Hard,2nd Round,3,Rubin N.,Isner J.,152,9,373,3490,6,4,7,6,,,,,,,2,0,Completed,4.5,1.18,4.4,1.17,5,1.17,5.31,1.2,5.31,1.2,4.78,1.18
49,Washington,Citi Open,02/08/18,ATP500,Outdoor,Hard,2nd Round,3,De Minaur A.,Johnson S.,72,34,803,1235,6,4,7,5,,,,,,,2,0,Completed,2.37,1.53,2.4,1.5,2.5,1.53,2.54,1.58,2.6,1.61,2.45,1.56
49,Washington,Citi Open,02/08/18,ATP500,Outdoor,Hard,2nd Round,3,Rublev A.,Paul T.,46,256,1000,216,7,6,6,4,,,,,,,2,0,Completed,1.5,2.5,1.5,2.4,1.53,2.5,1.51,2.75,1.56,2.75,1.51,2.57
49,Washington,Citi Open,03/08/18,ATP500,Outdoor,Hard,3rd Round,3,Tsitsipas S.,Duckworth J.,32,654,1399,38,6,3,6,4,,,,,,,2,0,Completed,1.33,3.25,1.37,2.85,1.4,3,1.43,3.08,1.43,3.25,1.39,3.02
49,Washington,Citi Open,03/08/18,ATP500,Outdoor,Hard,3rd Round,3,Zverev A.,Zverev M.,3,42,5665,1030,6,3,7,5,,,,,,,2,0,Completed,1.2,4.33,1.21,3.95,1.22,4.33,1.24,4.55,1.25,4.7,1.23,4.23
