ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
48,Washington,Citi Open,29/07/2019,ATP500,Outdoor,Hard,1st Round,3,Fratangelo B.,Karlovic I.,124,80,452,659,6,4,6,7,7,6,,,,,2,1,Completed,1.8,1.9,1.93,1.95,1.97,2.01,1.85,1.95
48,Washington,Citi Open,29/07/2019,ATP500,Outdoor,Hard,1st Round,3,Paul T.,Kudla D.,128,98,427,565,6,0,6,4,,,,,,,2,0,Completed,1.66,2.1,1.81,2.09,1.87,2.17,1.76,2.06
48,Washington,Citi Open,29/07/2019,ATP500,Outdoor,Hard,1st Round,3,Harris L.,Berankis R.,85,78,647,749,4,6,6,3,6,1,,,,,2,1,Completed,2,1.72,2.04,1.85,2.05,1.94,1.97,1.83
48,Washington,Citi Open,29/07/2019,ATP500,Outdoor,Hard,1st Round,3,Copil M.,Torpegaard M.,84,179,647,291,6,1,5,7,6,3,,,,,2,1,Completed,1.72,2,1.7,2.26,1.8,2.3,1.68,2.18
48,Washington,Citi Open,29/07/2019,ATP500,Outdoor,Hard,1st Round,3,Tsonga J.W.,Schnur B.,70,99,860,561,6,4,7,6,,,,,,,2,0,Completed,1.22,4,1.23,4.39,1.27,4.55,1.23,4.18
48,Washington,Citi Open,29/07/2019,ATP500,Outdoor,Hard,1st Round,3,Mannarino A.,Ivashka I.,66,126,861,434,7,6,6,3,,,,,,,2,0,Completed,1.53,2.37,1.56,2.58,1.59,2.6,1.55,2.45
48,Washington,Citi Open,30/07/2019,ATP500,Outdoor,Hard,1st Round,3,Bublik A.,Klahn B.,72,93,819,601,7,6,6,3,,,,,,,2,0,Completed,2,1.72,2.06,1.84,2.1,1.92,1.97,1.83
48,Washington,Citi Open,30/07/2019,ATP500,Outdoor,Hard,1st Round,3,Smyczek T.,Ebden M.,281,116,135,501,6,4,6,4,,,,,,,2,0,Completed,2.2,1.61,2.1,1.81,2.27,1.83,2.11,1.72
48,Washington,Citi Open,30/07/2019,ATP500,Outdoor,Hard,1st Round,3,Hurkacz H.,Young D.,44,195,1023,265,6,1,6,4,,,,,,,2,0,Completed,1.28,3.5,1.31,3.64,1.35,3.7,1.31,3.47
48,Washington,Citi Open,30/07/2019,ATP500,Outdoor,Hard,1st Round,3,Polmans M.,Jaziri M.,172,101,301,557,6,2,6,4,,,,,,,2,0,Completed,1.66,2.1,1.8,2.11,1.8,2.2,1.74,2.09
